No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,33pF,"C1,C2",C0603,33pF,CL10C330JB8NNNC,SAMSUNG(三星),C1663,LCSC
2,2,10uF,"C3,C4",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC
3,2,1uF,"C5,C8",C0603,1uF,CGA0603X5R105K500JT,HRE(芯声),C6119852,LCSC
4,10,100nF,"C6,C7,C9,C10,C11,C12,C13,C14,C15,C16",C0603,100nF,CT41G-0603-2X1-50V-0.1uF-K(N),TORCH(火炬),C125205,LCSC
5,2,27,"DM,DP",R0603,27,,,C25100,LCSC
6,2,HX PZ2.54-1x7P ZZ,"H1,H2",HDR-TH_7P-P2.54-V-M,,HX PZ2.54-1x7P ZZ,hanxia(韩下),C32713273,LCSC
7,1,PH2.54-1X3P-H25,H3,HDR-TH_3P-P2.54-V-M-B,,PH2.54-1X3P-H25,JXTCONN(聚兴泰),C42431836,LCSC
8,2,5.1k,"R1,R2",R0603,5.1k,,,C25905,LCSC
9,3,1k,"R3,R4,R6",R0603,1k,,,C11702,LCSC
11,1,10K,R5,R0603,10K,,,C25744,LCSC
12,2,TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(讯普),C720477,LCSC
13,1,RP2040,U1,LQFN-56_L7.0-W7.0-P0.4-EP,,RP2040,Raspberry Pi(树莓派),C2040,LCSC
14,1,NCP1117LPST33T3G,U3,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,,NCP1117LPST33T3G,onsemi(安森美),C146799,LCSC
15,1,W25Q16JVUXIQ,U4,USON-8_L3.0-W2.0-P0.50-BL-EP,,W25Q16JVUXIQ,Winbond(华邦),C2843335,LCSC
16,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC
17,1,12MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,12MHz,X322512MSB4SI,YXC(扬兴晶振),C9002,LCSC
