Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
C1,CAP_0201,C0201,62.668mm,-39.453mm,62.668mm,-39.453mm,62.394mm,-39.453mm,2,T,0,Yes,33pF
C2,CAP_0201,C0201,62.103mm,-44.704mm,62.103mm,-44.704mm,62.377mm,-44.704mm,2,T,180,Yes,33pF
C3,CAP_0201,C0201,80.01mm,-25.781mm,80.01mm,-25.781mm,79.736mm,-25.781mm,2,T,0,Yes,10uF
C4,CAP_0201,C0201,78.994mm,-30.226mm,78.994mm,-30.226mm,78.72mm,-30.226mm,2,T,0,Yes,10uF
C5,CAP_0201,C0201,73.025mm,-33.655mm,73.025mm,-33.655mm,73.025mm,-33.929mm,2,T,90,Yes,1uF
C6,CAP_0201,C0201,71.12mm,-32.766mm,71.12mm,-32.766mm,71.12mm,-33.04mm,2,T,90,Yes,0.1uF
C7,CAP_0201,C0201,71.916mm,-43.726mm,71.916mm,-43.726mm,71.916mm,-43.452mm,2,T,270,Yes,0.1uF
C8,CAP_0201,C0201,72.898mm,-45.212mm,72.898mm,-45.212mm,73.172mm,-45.212mm,2,T,180,Yes,0.1uF
C9,CAP_0201,C0201,72.263mm,-31.75mm,72.263mm,-31.75mm,72.263mm,-32.024mm,2,T,90,Yes,0.1uF
C10,CAP_0201,C0201,76.523mm,-39.656mm,76.523mm,-39.656mm,76.249mm,-39.656mm,2,T,0,Yes,0.1uF
C11,CAP_0201,C0201,73.025mm,-31.75mm,73.025mm,-31.75mm,73.025mm,-32.024mm,2,T,90,Yes,0.1uF
C12,CAP_0201,C0201,76.63mm,-31.513mm,76.63mm,-31.513mm,76.63mm,-31.788mm,2,T,90,Yes,0.1uF
C13,CAP_0201,C0201,81.534mm,-30.353mm,81.534mm,-30.353mm,81.534mm,-30.079mm,2,T,270,Yes,0.1uF
C14,CAP_0201,C0201,76.327mm,-35.687mm,76.327mm,-35.687mm,76.053mm,-35.687mm,2,T,0,Yes,0.1uF
C15,CAP_0201,C0201,73.66mm,-32.512mm,73.66mm,-32.512mm,73.66mm,-32.786mm,2,T,90,Yes,0.1uF
C16,CAP_0201,C0201,74.422mm,-32.512mm,74.422mm,-32.512mm,74.422mm,-32.786mm,2,T,90,Yes,0.1uF
DM,Res_0603,R0603,76.327mm,-34.798mm,76.327mm,-34.798mm,75.574mm,-34.798mm,2,T,0,Yes,27
DP,Res_0603,R0603,76.327mm,-33.401mm,76.327mm,-33.401mm,75.574mm,-33.401mm,2,T,0,Yes,27
H1,HX PZ2.54-1x7P ZZ,HDR-TH_7P-P2.54-V-M,83.185mm,-36.703mm,83.185mm,-36.703mm,83.185mm,-29.083mm,7,B,270,No,HX PZ2.54-1x7P ZZ
H2,HX PZ2.54-1x7P ZZ,HDR-TH_7P-P2.54-V-M,59.309mm,-36.703mm,59.309mm,-36.703mm,59.309mm,-29.083mm,7,B,270,No,HX PZ2.54-1x7P ZZ
R1,Res_0603,R0603,73.66mm,-25.654mm,73.66mm,-25.654mm,73.66mm,-24.901mm,2,T,270,Yes,5.1k
R2,Res_0603,R0603,68.961mm,-24.638mm,68.961mm,-24.638mm,69.714mm,-24.638mm,2,T,180,Yes,5.1k
R3,Res_0603,R0603,66.548mm,-43.434mm,66.548mm,-43.434mm,65.795mm,-43.434mm,2,T,0,Yes,1k
R4,Res_0603,R0603,65.659mm,-34.798mm,65.659mm,-34.798mm,64.906mm,-34.798mm,2,T,0,Yes,1K
R5,Res_0603,R0603,66.294mm,-27.305mm,66.294mm,-27.305mm,65.541mm,-27.305mm,2,T,0,Yes,10K
R6,Res_0603,R0603,79.121mm,-40.259mm,79.121mm,-40.259mm,79.121mm,-39.506mm,2,T,270,Yes,1K
Bootsel,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,62.484mm,-35.687mm,62.484mm,-35.687mm,62.484mm,-37.872mm,2,T,90,Yes,TS-1088-AR02016
RESET,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,79.502mm,-35.687mm,79.502mm,-35.687mm,79.502mm,-33.502mm,2,T,270,Yes,TS-1088-AR02016
U1,RP2040_C2040,LQFN-56_L7.0-W7.0-P0.4-EP,71.209mm,-38.653mm,71.209mm,-38.653mm,67.659mm,-36.052mm,57,T,0,Yes,RP2040
U2,W25Q128JVSIM,SOIC-8_L5.2-W5.2-P1.27-LS7.9-BL,66.675mm,-28.956mm,66.675mm,-28.956mm,63.145mm,-27.051mm,8,T,270,Yes,W25Q128JVSIM
U3,NCP1117LPST33T3G,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,76.708mm,-29.083mm,76.708mm,-29.083mm,79.566mm,-31.383mm,4,T,0,Yes,NCP1117LPST33T3G
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,71.374mm,-20.447mm,71.374mm,-20.447mm,67.049mm,-22.153mm,16,T,180,No,TYPE-C-31-M-12
X1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,62.738mm,-42.164mm,62.738mm,-42.164mm,63.588mm,-43.264mm,4,T,90,Yes,12MHz
H3,PH2.54-1X3P-H25,HDR-TH_3P-P2.54-V-M-B,77.978mm,-44.323mm,77.978mm,-44.323mm,80.518mm,-44.323mm,3,B,0,No,PH2.54-1X3P-H25
