Top Designator,Comment,Footprint,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C2",33pF,C0603,CL10C330JB8NNNC,Samsung Electro-Mechanics,0603,33pF 50V C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1663,https://jlcpcb.com/partdetail/2015-CL10C330JB8NNNC/C1663,Basic,4,4 JLCPCB,0.0192
"C3,C4",10uF,C0603,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,4,4 JLCPCB,0.0224
"C5,C8",1uF,C0603,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15849,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849,Basic,4,4 JLCPCB,0.0188
"C6,C7,C9,C10,C11,C12,C13,C14,C15,C16",100nF,C0603,CC0603KRX7R9BB104,YAGEO,0603,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C14663,https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663,Basic,20,20 JLCPCB,0.046
"DM,DP",27,R0603,0603WAF270JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 27Ω 75V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,"1.There may be multiple types of parts, but one type of part has been matched. Please check.;",C25190,https://jlcpcb.com/partdetail/25933-0603WAF270JT5E/C25190,Extended,20,20 JLCPCB,0.022
"R1,R2",5.1k,R0603,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23186,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186,Basic,4,4 JLCPCB,0.0044
"R3,R4,R6",1k,R0603,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C21190,https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190,Basic,6,6 JLCPCB,0.006
R5,10K,R0603,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25804,https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804,Basic,2,2 JLCPCB,0.0018
"SW1,SW2",TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,4,4 JLCPCB,0.1692
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,2,2 JLCPCB,2.211
U3,NCP1117LPST33T3G,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,NCP1117LPST33T3G,onsemi,SOT-223,"0℃~+125℃ 1 1.3V@(1A) 18V 1A 3.3V 550uA 60dB@(120Hz) Fixed Over Current Protection Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C146799,https://jlcpcb.com/partdetail/onsemi-NCP1117LPST33T3G/C146799,Extended,2,2 JLCPCB,0.7734
U4,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,W25Q16JVUXIQ,Winbond Elec,USON-8-EP(2x3),"100,000 Cycles 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,Extended,2,2 JLCPCB,1.125
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.3388
X1,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,2,2 JLCPCB,0.129
